Index	Abbreviation	Full_Name	First_Level	Last_Level
151	TF	area_TF	6	6
152	TH	area_TH	5	6
153	Rh	rhinal_cortex	3	3
154	ERh	entorhinal_cortex	4	4
155	caudal_ERh	caudal_entorhinal_cortex	5	5
156	EC	caudal_division_of_entorhinal_cortex	6	6
157	ECL	caudal_limiting_division_of_entorhinal_cortex	6	6
158	mid_ERh	middle_entorhinal_cortex	5	6
159	rostral_ERh	rostral_entorhinal_cortex	5	6
160	PRh	perirhinal_cortex	4	4
161	area_35	area_35	5	6
162	area_36	area_36	5	5
163	area_36c	caudal_area_36	6	6
164	area_36r/p	rostral_and_polar_area_36	6	6
165	TG	temporal_pole	2	3
166	TGa	agranular_temporal_pole	4	6
167	TGg/TGd	granular_and_dysgranular_temporal_pole	4	4
168	TGd	dysgranular_temporal_pole	5	5
169	TGdd	dorsal_dysgranular_temporal_pole	6	6
170	TGvd	ventral_dysgranular_temporal_pole	6	6
171	TGg	granular_temporal_pole	5	5
172	TGdg	dorsal_granular_temporal_pole	6	6
173	TGvg	ventral_granular_temporal_pole	6	6
174	TGsts	sts_part_of_temporal_pole	6	6
175	ITC	inferior_temporal_cortex	2	2
176	TEO	area_TEO	3	6
177	TE	area_TE	3	3
178	gyral_TE	gyral_aspect_of_area_TE	4	4
179	post_TE	posterior_area_TE	5	5
180	TEpv	posterior_ventral_area_TE	6	6
181	TEpd	posterior_dorsal_area_TE	6	6
182	ant_TE	anterior_area_TE	5	5
183	TEav	anterior_ventral_area_TE	6	6
184	TEad	anterior_dorsal_area_TE	6	6
185	TE_in_STSv	area_TE_in_the_ventral_STS	4	5
186	TEm	area_TEm	6	6
187	TEa	area_TEa	6	6
188	STSf	fundus_of_the_superior_temporal_sulcus	3	4
189	ant_STSf	anterior_fundus_of_the_superior_temporal_sulcus	5	5
190	IPa	area_IPa	6	6
191	PGa	area_PGa	6	6
192	FST	floor_of_the_superior_temporal_area	5	6
193	STG/STSd	superior_temporal_region	2	2
194	STGr/STSd	rostral_superior_temporal_region	3	3
195	STSd	dorsal_bank_of_the_superior_temporal_sulcus	4	4
196	TPO	temporal_parietooccipital_associated_area	5	6
197	TAa	area_TAa	5	6
198	STGr	rostral_superior_temporal_gyrus	4	6
199	STGc	caudal_superior_temporal_gyrus	3	4
200	Tpt	temporo-parietal_area	5	6
201	parabelt	parabelt_areas_of_auditory_cortex	5	5
202	CPB	caudal_parabelt_region	6	6
203	RPB	rostral_parabelt_region	6	6
204	core/belt	core_and_belt_areas_of_auditory_cortex	2	2
205	belt	belt_areas_of_auditory_cortex	3	3
206	lat_belt	lateral_belt_areas	4	4
207	CL/ML	caudal_areas_of_the_lateral_belt	5	5
208	CL	caudal_lateral_belt_region	6	6
209	ML	middle_lateral_belt_region	6	6
210	AL/RTL	rostral_areas_of_the_lateral_belt	5	5
211	AL	anterior_lateral_belt_region	6	6
212	RTL	lateral_rostrotemporal_belt_region	6	6
213	med_belt	medial_belt_areas	4	4
214	CM	caudomedial_belt_region	5	6
215	RM/RTM	rostral_areas_of_the_medial_belt	5	5
216	RM	rostromedial_belt_region	6	6
217	RTM	medial_rostrotemporal_belt_region	6	6
218	RTp	polar_rostrotemporal_cortex	3	6
219	core	core_areas_of_auditory_cortex	3	4
220	R/RT	rostral_areas_of_the_core	5	5
221	R	rostral_core_region	6	6
222	RT	rostrotemporal_core_region	6	6
223	AI	primary_auditory_cortex	5	6
224	floor_of_ls	floor_of_the_lateral_sulcus	2	3
225	Ins/Pi	insula_and_parainsula	4	4
226	Pi	parainsula	5	6
227	Ins	insula	5	5
228	Ia/Id	agranular_and_dysgranular_insula	6	6
229	Ig	granular_insula	6	6
230	Ri	retroinsula	4	6
231	Occipital	Occipital_Lobe	1	1
232	MT	middle_temporal_area	2	6
233	V2-V4	extrastriate_visual_areas_2-4	2	2
234	V4	visual_area_4	3	4
235	V4d	dorsal_visual_area_4	5	6
236	V4v	ventral_visual_area_4	5	6
237	V2-V3	preoccipital_visual_areas_2-3	3	3
238	V3	visual_area_3	4	4
239	V3d/V3A	visual_areas_V3d_and_V3A	5	5
240	V3A	visual_area_V3A	6	6
241	V3d	dorsal_visual_area_3	6	6
242	V3v	ventral_visual_area_3	5	6
243	V2	visual_area_2	4	5
244	possibly_V2	possibly_part_of_visual_area_2	6	6
245	clearly_V2	clearly_part_of_visual_area_2	6	6
246	V1	primary_visual_cortex	2	6
