Index	Abbreviation	Full_Name	First_Level	Last_Level
282	VCC	vestibulo_cochlear_complex	4	4
283	Ve	vestibular_nucleus	5	6
284	DVC	cochlear_nucleus	5	6
285	n8	vestibulochoclear_nerve	5	6
286	Pr	prepositus_nucleus	5	6
287	C5	trigeminal_complex	4	4
288	Nu5	motor_trigeminal_nucleus	5	6
289	Pr5	principal_trigeminal_nucleus	5	6
290	Sp5	spinal_trigeminal_nucleus	5	5
291	Sp5O	spinal_trigeminal_nucleus_oral	6	6
292	Sp5I	spinal_trigeminal_nucleus_intermediate	6	6
293	Sp5C	spinal_trigeminal_nucleus_caudal	6	6
294	SVC	somatovisceral_complex	4	4
295	CuGr	cuneate_gracile_nuclei	5	6
296	obex	obex	5	6
297	Sol	solitary_tract_nucleus	5	6
298	Nu10-12	visceral_motor_nuclei	5	6
299	IMed	intermediate_medulla	3	3
300	MedMC	medullar_motor_complex	4	4
301	Nu6	abducens_motor_nucleus	5	6
302	Nu7	facial_motor_nucleus	5	6
303	MedRet	medullar_reticulum	4	4
304	PCIRt	parvicellular_and_intermediate_reticular_nuclei	5	6
305	DPGi	dorsal_paragigantocellular_reticular_nucleus	5	6
306	Gi	gigantocellular_reticular_nucleus	5	6
307	MdRt	medullar_reticular_nucleus	5	6
308	MedRaphe	medullar-Raphe	4	4
309	RMg	Raphe_magnus_nucleus	5	6
310	ROb	Raphe_obscurus_nucleus	5	6
311	VMed	ventral_medulla	3	3
312	PreCbMed	precerebellar_medulla	4	4
313	IO	inferior_olive	5	6
314	LRt	lateral_reticular_nucleus	5	6
315	vmt	ventral_medullar_tracts	4	4
316	py	pyramidal_tract	5	6
317	pyx	pyramidal_tract_decussation	5	6
318	cst	corticospinal_tract	5	6
